title,watched,rating,poster,year,runtime,genre,overview,releaseDate,tmdbId
Once Upon a Time... in Hollywood,Yes,88%,,2019,2:42,"Comedy, Drama, Thriller","Los Angeles, 1969. TV star Rick Dalton, a struggling actor specializing in westerns, and stuntman Cliff Booth, his best friend, try to survive in a constantly changing movie industry. Dalton is the neighbor of the young and promising actress and model Sharon Tate, who has just married the prestigious Polish director Roman Polanski…",07/24/2019,466272
Straight Outta Compton,Yes,88%,,2015,2:27,"Drama, History, Music","In 1987, five young men, using brutally honest rhymes and hardcore beats, put their frustration and anger about life in the most dangerous place in America into the most powerful weapon they had: their music.  Taking us back to where it all began, Straight Outta Compton tells the true story of how these cultural rebels—armed only with their lyrics, swagger, bravado and raw talent—stood up to the authorities that meant to keep them down and formed the world’s most dangerous group, N.W.A.  And as they spoke the truth that no one had before and exposed life in the hood, their voice ignited a social revolution that is still reverberating today.",08/11/2015,277216
The Shining,Yes,88%,,1980,2:24,"Horror, Thriller","Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",05/23/1980,694
The Hobbit: An Unexpected Journey,Yes,88%,,2012,2:49,"Action, Adventure, Fantasy","Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",12/12/2012,49051
Fight Club,Yes,87%,,1999,2:19,Drama,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",10/15/1999,550
Avatar,Yes,87%,,2009,2:42,"Action, Adventure, Fantasy, Science Fiction","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",12/15/2009,19995
Entergalactic,Yes,85%,,2022,1:33,"Animation, Music, Romance",Ambitious artist Jabari attempts to balance success and love when he moves into his dream Manhattan apartment and falls for his next-door neighbor.,09/28/2022,1027014
How to Train Your Dragon 2,Yes,85%,,2014,1:42,"Action, Adventure, Animation, Comedy, Family, Fantasy","Five years have passed since Hiccup and Toothless united the dragons and Vikings of Berk. Now, they spend their time charting unmapped territories. During one of their adventures, the pair discover a secret cave that houses hundreds of wild dragons -- and a mysterious dragon rider who turns out to be Hiccup's mother, Valka. Hiccup and Toothless then find themselves at the center of a battle to protect Berk from a power-hungry warrior named Drago.",06/5/2014,82702
Rio,Yes,84%,,2011,1:36,"Adventure, Animation, Comedy, Family","Captured by smugglers when he was just a hatchling, a macaw named Blu never learned to fly and lives a happily domesticated life in Minnesota with his human friend, Linda. Blu is thought to be the last of his kind, but when word comes that Jewel, a lone female, lives in Rio de Janeiro, Blu and Linda go to meet her. Animal smugglers kidnap Blu and Jewel, but the pair soon escape and begin a perilous adventure back to freedom -- and Linda.",04/3/2011,46195
Ballerina,Yes,80%,,2025,2:05,"Action, Crime, Thriller","Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.",06/4/2025,541671
Karate Kid: Legends,Yes,78%,,2025,1:34,"Action, Adventure, Drama","After a family tragedy, kung fu prodigy Li Fong is uprooted from his home in Beijing and forced to move to New York City with his mother. When a new friend needs his help, Li enters a karate competition – but his skills alone aren't enough. Li's kung fu teacher Mr. Han enlists original Karate Kid Daniel LaRusso for help, and Li learns a new way to fight, merging their two styles into one for the ultimate martial arts showdown.",05/8/2025,1011477
Karate Kid: Legends,Yes,75%,,2025,1:34,"Action, Adventure, Drama","After a family tragedy, kung fu prodigy Li Fong is uprooted from his home in Beijing and forced to move to New York City with his mother. When a new friend needs his help, Li enters a karate competition – but his skills alone aren't enough. Li's kung fu teacher Mr. Han enlists original Karate Kid Daniel LaRusso for help, and Li learns a new way to fight, merging their two styles into one for the ultimate martial arts showdown.",05/8/2025,1011477
No Country for Old Men,No,,,2007,2:02,"Crime, Drama, Thriller","Llewelyn Moss stumbles upon dead bodies, $2 million and a hoard of heroin in a Texas desert, but methodical killer Anton Chigurh comes looking for it, with local sheriff Ed Tom Bell hot on his trail. The roles of prey and predator blur as the violent pursuit of money and justice collide.",06/13/2007,6977
Asteroid City,No,,,2023,1:45,"Comedy, Drama","In an American desert town circa 1955, the itinerary of a Junior Stargazer/Space Cadet convention is spectacularly disrupted by world-changing events.",06/8/2023,747188
Uncut Gems,No,,,2019,2:16,"Crime, Drama, Thriller","A charismatic New York City jeweler always on the lookout for the next big score makes a series of high-stakes bets that could lead to the windfall of a lifetime. Howard must perform a precarious high-wire act, balancing business, family, and encroaching adversaries on all sides in his relentless pursuit of the ultimate win.",08/30/2019,473033
All the President's Men,No,,,1976,2:18,"Drama, Mystery, Thriller","During the 1972 elections, two reporters' investigation sheds light on the controversial Watergate scandal that compels President Nixon to resign from his post.",04/9/1976,891
28 Years Later,No,,,2025,1:55,"Horror, Science Fiction, Thriller","Twenty-eight years since the rage virus escaped a biological weapons laboratory, now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group lives on a small island connected to the mainland by a single, heavily-defended causeway. When one member departs on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.",06/18/2025,1100988
Jurassic World Rebirth,No,,,2025,2:14,"Action, Adventure, Science Fiction","Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",07/1/2025,1234821
Mission: Impossible - The Final Reckoning,No,,,2025,2:50,"Action, Adventure, Thriller","Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",05/17/2025,575265
The Matrix,No,,,1999,2:16,"Action, Science Fiction","Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",03/31/1999,603
How to Train Your Dragon,No,,,2025,2:05,"Action, Family, Fantasy","On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",06/6/2025,1087192
Jurassic Park,No,,,1993,2:07,"Adventure, Science Fiction","A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",06/11/1993,329
The Fantastic Four: First Steps,No,,,2025,0,"Adventure, Science Fiction","Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",07/23/2025,617126
Jurassic World,No,,,2015,2:04,"Action, Adventure, Science Fiction, Thriller","Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",06/6/2015,135397
F1 The Movie,No,,,2025,2:36,"Action, Drama",Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,06/25/2025,911430
Superman,No,,,2025,2:09,"Action, Adventure, Science Fiction","Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",07/9/2025,1061474
Warfare,No,,,2025,1:35,"Action, War","A platoon of Navy SEALs embarks on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event.",04/9/2025,1241436
Civil War,No,,,2024,1:49,"Action, Drama, War","In the near future, a group of war journalists attempt to survive while reporting the truth as the United States stands on the brink of civil war.",04/10/2024,929590
